Name,English name,Episodes,Aired,Genres,Score
Agatha Christie no Meitantei Poirot to Marple,Agatha Christie's Great Detectives Poirot and Marple,39,"Jul 4, 2004 to May 15, 2005",Mystery,6.83
Great Teacher Onizuka,Great Teacher Onizuka,43,"Jun 30, 1999 to Sep 17, 2000",Comedy,8.69
Groove Adventure Rave,Rave Master,51,"Oct 13, 2001 to Sep 28, 2002","Adventure, Comedy, Fantasy, Romance",7.22
Harukanaru Toki no Naka de: Hachiyou Shou,Haruka: Beyond the Stream of Time – A Tale of the Eight Guardians,26,"Oct 6, 2004 to Mar 30, 2005","Fantasy, Romance",7.0
InuYasha,InuYasha,167,"Oct 16, 2000 to Sep 13, 2004","Action, Adventure, Fantasy, Romance",7.86
Konjiki no Gash Bell!!,Zatch Bell!,150,"Apr 6, 2003 to Mar 26, 2006","Adventure, Comedy, Supernatural",7.54
Kyou kara Maou!,UNKNOWN,78,"Apr 3, 2004 to Feb 25, 2006","Adventure, Comedy, Fantasy",7.63
Madlax,UNKNOWN,26,"Apr 6, 2004 to Sep 28, 2004","Drama, Mystery, Supernatural",7.03
Jungle wa Itsumo Hare nochi Guu,Haré+Guu,26,"Apr 3, 2001 to Sep 25, 2001","Comedy, Slice of Life",7.81
Jungle wa Itsumo Hare nochi Guu Deluxe,Haré+Guu Deluxe,6,"Aug 25, 2002 to Jan 25, 2003","Comedy, Slice of Life",7.79
Jungle wa Itsumo Hare nochi Guu Final,UNKNOWN,7,"Dec 21, 2003 to Jun 25, 2004","Award-Winning, Comedy, Slice of Life",7.62
Hoshi no Koe,Voices of a Distant Star,1,"Feb 2, 2002","Award-Winning, Drama, Romance, Sci-Fi",7.12
Hitsuji no Uta,UNKNOWN,4,"May 25, 2003 to Feb 25, 2004","Drama, Horror",6.15
Happy☆Lesson,UNKNOWN,5,"Jul 19, 2001 to May 23, 2003","Comedy, Romance",6.6
Happy☆Lesson (TV),UNKNOWN,13,"Apr 1, 2002 to Jun 30, 2002","Comedy, Drama, Romance",6.61
Happy☆Lesson Advance,UNKNOWN,13,"Jul 3, 2003 to Sep 28, 2003","Comedy, Romance",6.77
Happy☆Lesson The Final,UNKNOWN,3,"May 25, 2004 to Oct 22, 2004","Comedy, Romance",6.76
Hajime no Ippo,Fighting Spirit,75,"Oct 4, 2000 to Mar 27, 2002",Sports,8.76
Hajime no Ippo: Champion Road,Fighting Spirit: Champion Road,1,"Apr 18, 2003",Sports,8.26
Hajime no Ippo: Mashiba vs. Kimura,UNKNOWN,1,"Sep 5, 2003",Sports,8.23
