Player,Position,Team,Age,Club,Games,Shots,Goals,Touches,Passes
Samuel Oum Gouet,MF,Cameroon,25-005,Mechelen,2,0,0,65.0,59.0
Sardar Azmoun,FW,IR Iran,27-351,Leverkusen,3,5,0,40.0,30.0
Saud Abdulhamid,DF,Saudi Arabia,23-153,Al-Hilal,3,1,0,150.0,122.0
Saša Lukić,MF,Serbia,26-127,Torino,3,1,0,182.0,162.0
Sebastian Szymański,MF,Poland,23-222,Feyenoord,2,0,0,61.0,41.0
Sebastián Coates,DF,Uruguay,32-072,Sporting CP,2,1,0,107.0,93.0
Selim Amallah,MF,Morocco,26-033,Standard Liège,7,2,0,145.0,87.0
Serge Gnabry,FW,Germany,27-157,Bayern Munich,3,12,1,148.0,118.0
Sergej Milinković-Savić,MF,Serbia,27-294,Lazio,3,3,1,158.0,120.0
Sergio Busquets,MF,Spain,34-155,Barcelona,4,2,0,309.0,289.0
Sergio Rochet,GK,Uruguay,29-270,Nacional,3,0,0,88.0,78.0
Sergiño Dest,DF,United States,22-045,Milan,4,6,0,250.0,200.0
Shaquell Moore,DF,United States,26-046,Nashville,2,0,0,27.0,21.0
Shogo Taniguchi,DF,Japan,31-156,Kawa Frontale,2,2,0,105.0,85.0
Shūichi Gonda,GK,Japan,33-290,S-Pulse,4,0,0,124.0,113.0
Silvan Widmer,DF,Switzerland,29-288,Mainz 05,3,1,0,208.0,169.0
Simon Kjær,DF,Denmark,33-267,Milan,1,0,0,68.0,59.0
Sofiane Boufal,FW,Morocco,29-092,Angers,7,7,0,199.0,133.0
Sofyan Amrabat,MF,Morocco,26-119,Fiorentina,7,1,0,383.0,322.0
Son Heung-min,FW,Korea Republic,30-163,Tottenham,4,9,0,158.0,115.0
Son Jun-ho,MF,Korea Republic,30-220,Shandong Lunen,3,0,0,68.0,59.0
Sorba Thomas,MF,Wales,23-118,Huddersfield,1,0,0,6.0,4.0
Srđan Babić,DF,Serbia,26-240,Almería,1,0,0,16.0,16.0
Stefan Mitrović,DF,Serbia,32-210,Getafe,1,0,0,22.0,21.0
Stephen Eustáquio,MF,Canada,25-362,Porto,2,3,0,109.0,93.0
Steve Mandanda,GK,France,37-265,Rennes,1,0,0,32.0,31.0
Steven Berghuis,MF,Netherlands,30-364,Ajax,4,5,0,141.0,131.0
Steven Bergwijn,FW,Netherlands,25-071,Ajax,4,2,0,85.0,72.0
Steven Vitória,DF,Canada,35-341,Chaves,3,0,0,203.0,186.0
Strahinja Pavlović,DF,Serbia,21-208,RB Salzburg,3,2,1,186.0,156.0
Sultan Al-Ghanam,DF,Saudi Arabia,28-226,Al-Nassr,3,2,0,68.0,52.0
Taha Yassine Khenissi,FW,Tunisia,30-346,Kuwait SC,2,1,0,8.0,6.0
Tajon Buchanan,MF,Canada,23-313,Club Brugge,3,5,0,131.0,89.0
Takefusa Kubo,FW,Japan,21-197,Real Sociedad,2,0,0,23.0,11.0
Takehiro Tomiyasu,DF,Japan,24-043,Arsenal,3,0,0,118.0,103.0
Takuma Asano,FW,Japan,28-038,Bochum,4,8,1,49.0,28.0
Takumi Minamino,FW,Japan,27-336,Monaco,3,2,0,32.0,22.0
Tarek Salman,DF,Qatar,25-013,Al Sadd SC,1,0,0,14.0,10.0
Tariq Lamptey,DF,Ghana,22-079,Brighton,2,1,0,50.0,34.0
Teun Koopmeiners,MF,Netherlands,24-293,Atalanta,5,2,0,149.0,119.0
Theo Hernández,DF,France,25-073,Milan,6,5,1,383.0,339.0
Thiago Almada,MF,Argentina,21-236,Atlanta Utd,1,0,0,15.0,13.0
Thiago Silva,DF,Brazil,38-087,Chelsea,4,2,0,368.0,344.0
