date,city,state,shape,comments
2024-12-20,Lone Pine,CA,Light,White light appeared suddenly looked like a star suddenly went vertically down super fast. Faster than any normal flying vehicle
2024-12-19,Johnstons Corner,CA,Oval,Paused stayed in place then moved slowly
2024-12-17,Riverside,CA,Sphere,I saw two sphere like objects rotating through the sky over my neighborhood
2024-12-17,Long Beach,CA,Circle,"In the sky, a small circle changed from silver to black. It squirted a white substance as it floated and darted in the area."
2024-12-17,Chula Vista,CA,Fireball,Huge fire ball appeared and disappeared
2024-12-17,San Diego,CA,Oval,It had a light in the middle with an aura on both sides. Following it was a red ball of fire that disappeared.
2024-12-16,San Luis Obispo,CA,Other,I saw a drone like the ones in New Jersey
2024-12-16,Huntington Beach,CA,Orb,First notice two objects moving along parallel and keeping the same distance as one from the and flying the same direction and speed
2024-12-15,Palm Desert,CA,Light,One craft with 4 red lights disappearing from the sky
2024-12-15,Sunnyvale,CA,Diamond,"A large black UFO, had a light at the end of each point. Was being followed by 3 smaller crafts, possibly drones."
2024-12-15,Hollister,CA,Unknown,"Spotted an unknown drone in the night sky, hovering slowly with audible sounds. Unable to identify it. Very sketchy."
2024-12-14,Chula Vista,CA,Orb,Orbs
2024-12-14,Lake Forest,CA,Diamond,Driving down Jeronimo around 7:30 when this bright blue diamond shaped craft was heading north. Its movements were unlike any aircraft.
2024-12-14,San Diego,CA,Circle,10-15 spinning circular objects with white and red blinking lights
2024-12-14,Vallejo,CA,Oval,3 flashes of green light from oval object in sky.
2024-12-13,San Diego,CA,Fireball,Was looking out the window and saw two lights that looked like meteors but one veered so could be a craft
2024-12-13,Spring Valley,CA,Rectangle,3 objects in the sky
2024-12-12,Los Alamitos,CA,Orb,2 large glowing orbs near the moon about 1/3 the size of the moon and a drone similar to the New Jersey drones low over a building
2024-12-12,Campbell,CA,Light,Saw a blue green light that was moving fast and shot upwards
2024-12-11,Barstow,CA,Disk,"Flew over my home, extremely close above me. Disk was flat overhead and as it continued, scooped up and vertical, showing me its shape"
2024-12-10,Los Angeles,CA,Unknown,something warped then blue streak and then blue streak instantly gone
2024-12-10,Irvine,CA,Rectangle,"Sighted several objects with flashing lights, hovering in place and then slowly moving a bit to another location within view."
2024-12-10,Palm Desert,CA,Orb,I thought it was the moon until I saw the real moon in the opposite direction
2024-12-10,Carlsbad,CA,Triangle,"Large drone with 3 bright white lights shaped similar to airplane, but way too low and flying too slow to be a plane."
2024-12-09,Marina del Rey,CA,Triangle,"Saw a triangular shape flying by the tree lines, had 3 lights on each point, honked my car & disappeared into tree lines"
2024-12-09,San Diego,CA,Orb,Multiple orbs falling from sky
2024-12-08,Pleasanton,CA,Other,"Witnessed a silent, jellyfish-like UFO with flashing lights at tree-level, moving slowly and turning into a street before vanishing."
2024-12-07,Santa Rosa,CA,Circle,I looked up and coming from the north was 5 red lights in a vertical straight l line with 5 white small lights circling around main red
2024-12-07,San Diego,CA,Sphere,Multiple sphere shaped objects
2024-12-06,Elk Grove,CA,Light,Strange light seen in-between freeway exits and wetlands
2024-12-06,West Hollywood,CA,Light,I was on a walk on my boyfriend when I noticed some sort of aircraft flying in a bizarre pattern.
2024-12-06,San Jose,CA,Triangle,Viewed 3 lights which appeared to form a craft
2024-12-06,Escalon,CA,Orb,A white pulsating orb traveling east at approximately 1000-1500ft altitude
2024-12-05,San Diego,CA,Sphere,Shot straight up into sky
2024-12-04,Oceanside,CA,Orb,"Magnificent yellow/orange colored light foil hovered and lingered and moved slowly not in a straight path, then vanished."
2024-12-02,Sacramento,CA,Circle,Saw 3 UFO in a row across sky moving extremely fast in circular motion and disappearing and reappearing several times. I have video/pic
2024-12-02,Broadmoor,CA,Triangle,I was driving & in the sky I saw a triangular shaped object. Going slow & hovering. Not high up. 3 lights
2024-12-02,Los Angeles,CA,Orb,Los Angeles ORB SIGHTING 12.2.25
2024-12-01,San Diego,CA,Circle,Multiple objects forming triangle
2024-12-01,San Diego,CA,Orb,Appeared to be a star but it was daylight so it stood out
2024-11-29,Healdsburg,CA,Unknown,"50-100 feet west of highway 101, 100-200 feet in the air, bus sized or larger craft. Bright central light, green and red light to sides"
2024-11-28,Lebec,CA,Cross,Cigar or saucer shape two white lights on ends creating aura around craft.
2024-11-27,Nevada City,CA,Orb,Glowing orb
2024-11-26,Berkeley,CA,Changing,"Saw lights over the freeway, pulled over and watched them at a park for 30 minutes"
2024-11-25,San Diego,CA,Cigar,Commercial plane and another object
2024-11-22,Tulare,CA,Sphere,"Heading south on freeway 99, I saw what started as a ball of light that then seemed like a missile flying vertically towards land"
2024-11-22,Costa Mesa,CA,Diamond,"We saw an A shape, a tictac, and an orb"
2024-11-20,Irvine,CA,Changing,Object was static for a couple minutes. Seemed to be flashing lights and shape shifting or spinning.
2024-11-20,Los Angeles,CA,Unknown,"Night time shot of changing lights, hovering, no sound"
2024-11-19,Oceanside,CA,Orb,Observed a light hovering over the ocean.
2024-11-17,Fresno,CA,Fireball,"This object was traveling relatively fast for high altitude, appearing like a meteorite, glowing red with a very bright, red tail."
2024-11-16,Cotati,CA,Circle,"sphere shaped object emitting bright orange glow, hovered up above houses and flew at a slow speed SE direction, no sound was heard"
2024-11-15,Antioch,CA,Circle,Round object stayed in place but had flashing light and then disappeared
2024-11-13,Aptos,CA,Orb,"A brilliant red light hovering over the ocean, expands and retracts a couple times"
2024-11-13,San Diego,CA,Circle,About 5-6 aircrafts appear around the Talmadge neighborhood (San Diego) every day after the sunset until sunrise the next morning.
2024-11-11,Newport Beach,CA,Changing,"Watching sunset w/ my BF, sky was clear. We both noticed at least 2 objects (maybe 3) different from anything we had ever seen."
2024-11-11,Orangevale,CA,Other,"I saw something above me in the sky. Thought it was a balloon. When I got to the corner, the two intersected and took off."
2024-11-11,Fallbrook,CA,Sphere,High altitude aircraft impossible maneuvering
2024-11-10,Rio Vista,CA,Oval,"Object traveled at great speed of about 80-90 mph, at a height of about 10 ft from the ground approx. 15 ft from where I stood"
2024-11-09,San Diego,CA,Changing,Spinning object started as a black oval/circle to elongated silver/translucent to black oval to silver elongated to black circle/oval
2024-11-08,Twentynine Palms,CA,Orb,Orange-ish orb hovering in distance then dropping straight down.
2024-11-08,Oceanside,CA,Oval,Saw likely helicopter shine phosporescent light quickly then to its southeast a dimly lit large object move away quickly
2024-11-07,Murrieta,CA,Other,"Collection of small bright lights hovering, moving, dispersing, and coming back together.... would disappear together and come back"
2024-11-07,Petaluma,CA,Cylinder,A slow moving cylinder either emitting white light or highly reflective shimmer.
2024-11-06,Escondido,CA,Oval,"Me and my boyfriend were in the car while he was driving, and I was in the passenger seat."
2024-10-31,National City,CA,Orb,2 orbs flew directly over car sunroof from about 30' and came into full view in windshield.
2024-10-31,Santa Ana,CA,Changing,Wife and I saw object from window of apartment. Grabbed phone to record. Object demonstrated erratic unpredictable movement w/o inertia
2024-10-30,South San Francisco,CA,Sphere,Orb chased airliner/closed in quickly/flew around the left side of the plane/matched its speed in front of the nose/appeared to hover
2024-10-29,San Gregorio,CA,Formation,While driving they were flying near a plane that was heading west towards the ocean.
2024-10-28,Santa Rosa,CA,Changing,Cluster of lights visible in peripheral vision but difficult to see directly. They were moving and changing shape.
2024-10-27,Roseville,CA,Orb,"Light ball dropping in front of the dark trees about 1/2 - 1 mile ahead. Dropped straight down and out of sight, ball of light."
2024-10-27,Davis,CA,Other,"It was literally exactly how people picture out ufos to be. Grey with dome top and suacer shape for bottom, with either 4/5 lights"
2024-10-26,West Hollywood,CA,Circle,Observed black circular object.
2024-10-26,Irvine,CA,Sphere,Silver/metallic orb flying northwest
2024-10-25,San Bernardino,CA,Orb,"Seen from our front yard in an easterly direction. Lights flew slowly from south to north, low in the horizon then faded out as it app"
2024-10-23,Aliso Viejo,CA,Orb,4 yellowish-orange lights moving in unison creating a hybrid between a rectangle/diamond shape
2024-10-21,Mountain Center,CA,Oval,White Light Hovering Over Santa Rosa Mountain
2024-10-21,San Rafael,CA,Sphere,"Saw a smooth, round, silver object (definitely not a rogue “balloon” or a drone) hovering above the highway."
2024-10-19,Sebastopol,CA,Unknown,"With gen III night vision scope, 3 ""glowing"" objects very tightly spaced, or one very large object, this was NOT a satellite or a plane"
2024-10-17,Moorpark,CA,Circle,Large white object with a red companion
2024-10-16,Santa Rosa,CA,Unknown,Three lights in a row
2024-10-14,Los Angeles,CA,Unknown,I was driving and saw an iridescent glowing humanoid form walking acrossing the street that swirled the light when I hit my brights.
2024-10-14,Santa Rosa,CA,Chevron,"I was looking out my bedroom window when I saw two alien looking spacecrafts shoot right by, they were completely silent."
2024-10-13,Bay Point,CA,Fireball,Looked like a shooting star but bigger and brighter
2024-10-13,San Francisco,CA,Chevron,Blue Angels airshow in San Francisco; An object hovered at a consistent altitude and velocity towards NE
2024-10-11,Rancho Murieta,CA,Other,"Traveling West 1500 ft Elevation, decending. Shape of Fat Polliwog. Lite white lights one blinking. No Engine noise."
2024-10-10,Joshua Tree,CA,Chevron,Three chevron shaped crafts extremely close together in a line flew across a portion of the sky before disappearing
2024-10-10,Joshua Tree,CA,Chevron,"The ship was otherworldly. It wasn’t just a metal structure, it wasn’t just orbs of light - it looked like it was from a sci-fi movie."
2024-10-08,Los Angeles,CA,Circle,I woke up and then I looked out my window and I saw a circular aircraft with gray and green lights.
2024-10-08,Vista,CA,Unknown,"Saw dozens of light brightening and dimming seemed to be descending into the atmosphere, no navigation lights viewed through telescope"
2024-10-07,Monterey,CA,Chevron,"~7 lights in shape of 120 triangle/chevron, was very high, travelled very fast, silent, lights were similar to satellites"
2024-10-05,Stockton,CA,Circle,"There were no clouds in sky and no wind. I saw a cloud shape circle moving quickly in the sky, not too high up."
2024-10-05,Menlo Park,CA,Star,Like a little star going a a constant speed pulling a u turn at zooming off at high speeds
2024-10-02,Glendale,CA,Sphere,"An unknown luminous object flew parallel to my car, about 500 meters away"
2024-10-01,San Diego,CA,Disk,Object moving fast at sharp angles
2024-10-01,Copperopolis,CA,Orb,Dropped kids off at school on my way home. I Saw a bright disk shape object in sky then it disappeared before I could get a photo of it
2024-09-28,San Marcos,CA,Circle,There were eight items in the sky in a pattern
2024-09-27,Riverside,CA,Circle,Sighting of craft near my home in front of mountain area
2024-09-26,Marysville,CA,Light,"Four stars in the sky as a rectangle, one a star for sure"
2024-09-24,Mission Viejo,CA,Circle,A large bright orange round orb with a long tail
2024-09-24,Los Angeles,CA,Other,While photographing a small plane I noticed a bright white spot in the lower left of my image
2024-09-19,Gilroy,CA,Changing,I have never seen anything like this before -was not a plane or satellite. Moving North.
2024-09-17,El Casco,CA,Unknown,Something flew over quickly And began to scan the hillside with a bright laser In a grid pattern
2024-09-17,Reef Station,CA,Cylinder,Gray cylinder passing 10ft underneath military aircraft
2024-09-16,San Bernardino,CA,Oval,"A little oval shape appeared in the sky flashing any color, it flew away after 9 minutes and never returned"
2024-09-15,Yuba City,CA,Disk,I was shocked and realized it was a flying saucer.   50 ft across a round disk.
2024-09-14,East Los Angeles,CA,Light,Three Orange Lights
2024-09-10,San Diego,CA,Orb,"I’m a Sky watcher, noticed a Color Orb Moving , started recording & when I zoomed in it was Changing colors like a star"
2024-09-05,Santa Cruz,CA,Triangle,Saw triangle of lights hover over Bay (lifted up and then didn’t move again) and then fade into darkness
2024-09-05,Moreno Valley,CA,Light,"I was taking a picture of the moon , still focusing for it , I took a test picture and notice the light ."
2024-09-05,Oceanside,CA,Cigar,Tic tac shaped object that’s completely seamless with no visible signs of propulsion
2024-09-04,Buellton,CA,Triangle,"Strange, large, slow moving craft in the canyon"
2024-09-01,Olancha,CA,Changing,Witnessed a light flickering and glowing red/blue/green and moving the sky in a single area moving erratically.
2024-08-30,Mount Shasta,CA,Light,Fast yellow light zigzagged from meadow to parking lot
2024-08-26,Palmdale,CA,Orb,"Bright orb, zigzagging back and forth, became still as a star when a large presumed military aircraft got close, then cont. Zigzags"
2024-08-25,Los Angeles,CA,Unknown,I personally recorded photo and video
2024-08-21,Corcoran,CA,Circle,It had 3 lights
2024-08-20,Los Angeles,CA,Sphere,Working in my yard and noticed two craft quite close to each other. One moved off and disappeared before I could get my phone.
2024-08-19,Tulare,CA,Circle,It was going in slow.!option then went zig zag up n down fast then disappeared
